標題,發布時間
【住宅火災】【9日臺北市大同區重慶北路2段住宅火災，已撲滅，無傷亡】,111-04-09
【機關火災】【9日臺中市豐原區「臺中市政府建設局養護工程處停車場」火災，已撲滅，無傷亡】,111-04-10
【地震】【4月10日19:32宜蘭縣政府南南東方44.8公里(臺灣東部海域)發生芮氏規模3.5地震，無災情】,111-04-11
【住宅火災】【11日桃園市大園區大竹南路住宅火災，已撲滅，1焦屍】,111-04-11
​【一氧化碳中毒】【11日臺中市北區1人一氧化碳中毒身體不適送醫】,111-04-12
​【一氧化碳中毒】【11日新竹市北區2人一氧化碳中毒死亡】,111-04-12
【機關火災】【12日桃園市八德區「八德區公所」火災，已撲滅，無傷亡】,111-04-13
【地震】【4月12日12:14高雄市政府東北方46.6公里(高雄市六龜區)發生芮氏規模4.6地震，無災情】,111-04-13
【工廠火災】【12日臺中市豐原區國豐路3段鞋子工廠火災，已撲滅，無傷亡】,111-04-13
【工廠火災】【13日04:35新北市鶯歌區甲一街某陶瓷工廠火災，已撲滅，無傷亡】,111-04-13
【住宅火災】【15日屏東縣九如鄉東寧路住宅火災，已撲滅，無傷亡】,111-04-15
【住宅火災】【17日07:58高雄市鹽埕區興華街某住宅火災，已撲滅，無傷亡】,111-04-17
【醫院火災】【20日高雄市苓雅區聖功醫院3樓火災，已撲滅，無傷亡】,111-04-20
【山域事故】【26日07:32臺中市和平區釜碗山西峰1山友大體案，空勤直升機及本署特搜共勤成功吊掛】,111-04-27
【餐廳火災】【27日02:15臺中市北區健行路餐廳火災，已撲滅，無傷亡】,111-04-27
​【鐵皮屋火災】【27日南投縣埔里鎮枇杷路鐵皮屋火災，已撲滅，無傷亡】,111-04-28
【地震】【4月28日08:42高雄市政府東北方80.6公里(高雄市桃源區)發生芮氏規模4.1地震，無災情】,111-04-29
【車輛火災】【28日10:48臺北市中山區大佳河濱公園1計程車火災，已撲滅，1人明顯死亡未送醫】,111-04-29
【工廠火災】【28日桃園市八德區東勇街1鐵皮工廠火災，已撲滅，無傷亡】,111-04-29
【鴿舍火災】【28日新北市深坑區炮子崙1鐵皮建物火災，已撲滅，無傷亡】,111-04-29
​【山域事故】【28日20:39臺中市和平區南湖山屋1男身體不適，空勤直升機及本署特搜共勤成功救援】,111-04-30
​【工廠火災】【29日桃園市龜山區樹人路工廠火災，已撲滅，無傷亡】,111-04-30
​【山域事故】【29日10:59高雄市桃源區小關山1男高山症，空勤直升機及本署特搜共勤成功救援】,111-04-30
​【住宅火災】【30日臺中市大里區健行路住宅火災，已撲滅，1男燒傷送醫】,111-04-30
【倉庫火災】【5月1日彰化縣彰化市線東路1段倉庫火災，已撲滅，無傷亡】,111-05-01
【工廠火災】【高雄市大社區大社路某工廠火災，已撲滅，無傷亡】,111-05-09
